Version,Best_GAP,Mean_GAP,Worst_GAP,Std_GAP,Best_Score,Optimum_Hits,Total_Time_Sec
PMX,2.498681152127262,2.855041304899863,3.0780527088845555,0.14283906207620578,21578500,0/30,438.12
WRAO,2.5527840776467707,2.8157489958658526,2.9606697856678643,0.10518383391183084,21589890,0/30,439.2
AO,2.5241128521475824,2.830957348812881,3.0172807309129483,0.13973107771712737,21583854,0/30,441.47
