Run_Number,PMX_Scores,PMX_Gaps,PMX_Times,WRAO_Scores,WRAO_Gaps,WRAO_Times,AO_Scores,AO_Gaps,AO_Times
1,1210244,0.0,4.492546199999879,1210244,0.0,4.112396199999921,1210244,0.0,4.236685900000111
2,1210244,0.0,4.031650899999931,1210244,0.0,4.0997707999999875,1210244,0.0,4.192058399999951
3,1210244,0.0,4.343969100000095,1416812,17.068293666401154,4.591218000000026,1210244,0.0,4.079780000000028
4,1210244,0.0,4.653346199999987,1413199,16.769758825493042,4.199115800000072,1210244,0.0,4.049979000000121
5,1210244,0.0,4.1968455999999605,1210244,0.0,4.181338900000128,1210244,0.0,4.155905999999959
6,1415901,16.993019589438163,3.9170819999999367,1210244,0.0,4.265357800000174,1210244,0.0,4.177556399999958
7,1210244,0.0,4.127110900000162,1210244,0.0,4.222171499999831,1210244,0.0,4.099539999999934
8,1210244,0.0,3.999567999999954,1210244,0.0,4.182270600000038,1210244,0.0,4.156525699999975
9,1210244,0.0,3.9724888000000647,1210244,0.0,4.044228800000155,1419083,17.25594177703009,4.136941999999863
10,1210244,0.0,4.007945099999915,1210244,0.0,4.197112700000162,1210244,0.0,4.077714600000036
11,1416782,17.06581482742323,4.231555800000024,1210244,0.0,4.0346614000000045,1210244,0.0,4.236904399999958
12,1210244,0.0,4.092946600000005,1210244,0.0,4.12099360000002,1210244,0.0,4.117721699999947
13,1210244,0.0,4.270511899999974,1210244,0.0,4.0128279000000475,1210244,0.0,4.176860500000203
14,1210244,0.0,4.191107899999906,1210244,0.0,4.021430499999951,1210244,0.0,4.084944299999961
15,1210244,0.0,4.058952500000032,1210244,0.0,4.571689099999958,1210244,0.0,4.200586700000031
16,1210244,0.0,4.378251999999975,1210244,0.0,3.9692432000001645,1210244,0.0,4.248577700000169
17,1210244,0.0,4.033381299999974,1210244,0.0,4.370758399999886,1210244,0.0,4.3941586999999345
18,1210244,0.0,4.629437899999857,1403056,15.931663367056561,4.246277599999985,1210244,0.0,4.269222500000069
19,1210244,0.0,4.196891699999924,1210244,0.0,3.925736700000016,1210244,0.0,4.190481499999805
20,1415263,16.94030294717429,4.159354399999984,1210244,0.0,4.115314000000126,1210244,0.0,4.042440499999884
21,1210244,0.0,4.2530760999998165,1210244,0.0,4.155321700000059,1210244,0.0,3.9280701999998655
22,1210244,0.0,4.329612600000019,1210244,0.0,4.187331399999948,1210244,0.0,4.119091100000105
23,1210244,0.0,3.945596499999965,1210244,0.0,3.984282500000063,1210244,0.0,4.2731209000000945
24,1210244,0.0,4.092907299999979,1210244,0.0,4.032741299999998,1210244,0.0,4.3160841999999775
25,1210244,0.0,4.420696700000008,1210244,0.0,4.305806500000017,1210244,0.0,4.164633900000126
26,1210244,0.0,4.395221700000093,1210244,0.0,4.266134700000066,1210244,0.0,4.017246699999987
27,1210244,0.0,4.072911799999929,1210244,0.0,3.9660180000000764,1210244,0.0,4.239215999999942
28,1210244,0.0,3.9484431999999288,1418686,17.223138474555544,4.4113508000000365,1210244,0.0,4.131735900000194
29,1210244,0.0,4.527104699999882,1210244,0.0,4.519968699999936,1210244,0.0,4.197832999999946
30,1210244,0.0,4.547547000000122,1419231,17.26817071598785,4.0825993999999355,1210244,0.0,4.05874289999997
