Version,Best_GAP,Mean_GAP,Worst_GAP,Std_GAP,Best_Score,Optimum_Hits,Total_Time_Sec
PMX,0.0,0.0,0.0,0.0,7098658,30/30,33.74
WRAO,0.0,0.00023196872798586247,0.003479530919787937,0.0008679475045688574,7098658,28/30,33.82
AO,0.0,0.00011598436399293123,0.003479530919787937,0.0006245949151526118,7098658,29/30,33.93
