Version,Best_GAP,Mean_GAP,Worst_GAP,Std_GAP,Best_Score,Optimum_Hits,Total_Time_Sec
PMX,4.43864229765013,7.26138671308384,10.095735422106179,1.399692003154545,2400,0/30,22.8
WRAO,2.3498694516971277,7.420945749927475,10.443864229765012,1.770691245788487,2352,0/30,23.07
AO,4.177545691906006,7.339715694807078,11.314186248912097,1.7021168975141894,2394,0/30,23.37
