Run_Number,PMX_Scores,PMX_Gaps,PMX_Times,WRAO_Scores,WRAO_Gaps,WRAO_Times,AO_Scores,AO_Gaps,AO_Times
1,3720,0.0,0.5448391999999558,3720,0.0,0.5545279000000392,3720,0.0,0.5704576000000543
2,3720,0.0,0.5183322999999973,3720,0.0,0.536706400000071,3720,0.0,0.5364570000000413
3,3720,0.0,0.6079381000000694,3720,0.0,0.5450396999999612,3720,0.0,0.5877755999999863
4,3720,0.0,0.547403700000018,3720,0.0,0.6004547000000002,3720,0.0,0.5615468000000874
5,3720,0.0,0.513828799999942,3720,0.0,0.5535558000000265,3720,0.0,0.5605738999998948
6,3720,0.0,0.5482136000000537,3720,0.0,0.6040280999999368,3720,0.0,0.5694842999999992
7,3720,0.0,0.5222603000000845,3720,0.0,0.6444165000000339,3720,0.0,0.6180716999999731
8,3720,0.0,0.5951840000000175,3720,0.0,0.6292394000000741,3720,0.0,0.6673528999999689
9,3720,0.0,0.5364264999999477,3720,0.0,0.6048481000000265,3720,0.0,0.5563061000000289
10,3720,0.0,0.5286328000000822,3720,0.0,0.5683794000000262,3720,0.0,0.5602982999999995
11,3720,0.0,0.5543533000000025,3720,0.0,0.5984167999999954,3720,0.0,0.5364587000000256
12,3720,0.0,0.5948155999999472,3720,0.0,0.5482497999998941,3720,0.0,0.6683242000000291
13,3720,0.0,0.5748393999999735,3720,0.0,0.6342387999999346,3720,0.0,0.5733677000000625
14,3720,0.0,0.5424198999999135,3720,0.0,0.5468763999999737,3720,0.0,0.5489982000000282
15,3720,0.0,0.5411182000000281,3720,0.0,0.5734290000000328,3720,0.0,0.5762371000000712
16,3720,0.0,0.5421472000000449,3720,0.0,0.6253030999999964,3720,0.0,0.5201276999999891
17,3720,0.0,0.558272699999975,3720,0.0,0.5799687999999605,3720,0.0,0.5428201000000854
18,3720,0.0,0.6350026000000071,3720,0.0,0.633899700000029,3720,0.0,0.7693275999999969
19,3720,0.0,0.5368896999999606,3720,0.0,0.541535999999951,3720,0.0,0.5244519999999966
20,3720,0.0,0.5925621000000092,3720,0.0,0.5654878999999937,3720,0.0,0.5445895999999948
21,3720,0.0,0.5379403000000593,3720,0.0,0.5529906999998957,3720,0.0,0.5804382000000032
22,3720,0.0,0.5576422000000321,3720,0.0,0.5224928999999747,3720,0.0,0.5839558000000125
23,3720,0.0,0.5577824999999166,3720,0.0,0.5967381000000387,3720,0.0,0.540582699999959
24,3720,0.0,0.5363800999999739,3720,0.0,0.5417298999999502,3720,0.0,0.5890001000000211
25,3720,0.0,0.6153690999999526,3720,0.0,0.6624745999999959,3720,0.0,0.6505039999999553
26,3720,0.0,0.5845858999999791,3720,0.0,0.5913618000000724,3720,0.0,0.5825608000000102
27,3720,0.0,0.5907942000000048,3720,0.0,0.5775201999999808,3720,0.0,0.6108205000000453
28,3720,0.0,0.6038866999999755,3720,0.0,0.5365495999999439,3720,0.0,0.5645969999999352
29,3720,0.0,0.5466912000000548,3720,0.0,0.5365325999999868,3720,0.0,0.5637215000000424
30,3720,0.0,0.5362094999999272,3720,0.0,0.6115466999999626,3720,0.0,0.537964699999975
