Version,Best_GAP,Mean_GAP,Worst_GAP,Std_GAP,Best_Score,Optimum_Hits,Total_Time_Sec
PMX,0.0,0.0,0.0,0.0,5426670,30/30,36.04
WRAO,0.0,0.0,0.0,0.0,5426670,30/30,35.86
AO,0.0,0.00027027010425669277,0.008108103127700782,0.0014554490538637146,5426670,29/30,36.07
