Run_Number,PMX_Scores,PMX_Gaps,PMX_Times,WRAO_Scores,WRAO_Gaps,WRAO_Times,AO_Scores,AO_Gaps,AO_Times
1,171145,0.8188271332214072,8.23017989999994,171110,0.7982091838237461,8.634596299999885,171113,0.7999764366292598,7.738910999999916
2,171161,0.8282524815174811,7.362235000000055,171155,0.8247179759064533,7.29862449999996,171156,0.825307060174958,7.235790100000031
3,171159,0.8270743129804717,6.940917600000148,171175,0.8364996612765456,7.271439800000053,171139,0.8152926276103798,7.1434619999999995
4,171085,0.7834820771111308,7.2873111999999765,171135,0.8129362905363612,7.474432399999841,171123,0.8058672793143059,7.432185000000118
5,171155,0.8247179759064533,7.1081713999999465,171119,0.8035109422402875,7.4104904000000715,171141,0.8164707961473888,7.15874870000016
6,171189,0.8447468410356102,6.745238200000131,171217,0.8612412005537392,7.383157700000083,171137,0.8141144590733704,7.146957599999951
7,171106,0.7958528467497274,7.174510000000055,171185,0.8423905039615918,7.38184339999998,171111,0.7987982680922505,7.063073000000031
8,171135,0.8129362905363612,7.417395799999895,171143,0.8176489646843982,7.552580100000114,171151,0.822361638832435,7.2104320999999345
9,171150,0.8217725545639303,7.22277320000012,171162,0.8288415657859858,7.235114199999998,171157,0.8258961444434627,7.207468700000163
10,171140,0.8158817118788843,7.390555799999902,171170,0.8335542399340226,7.421851399999923,171141,0.8164707961473888,7.1352745000001505
11,171090,0.7864274984536538,7.574409399999922,171177,0.8376778298135549,7.558853799999952,171174,0.835910577008041,7.476890099999991
12,171173,0.8353214927395363,7.2150910000000295,171174,0.835910577008041,7.546439099999816,171173,0.8353214927395363,7.297387700000172
13,171066,0.7722894760095432,7.444652800000085,171207,0.8553503578686931,7.764785200000006,171194,0.8476922623781332,7.321041199999854
14,171168,0.8323760713970134,7.241454800000156,171147,0.8200053017584166,7.153590299999905,171152,0.8229507231009396,7.193563999999924
15,171131,0.8105799534623428,7.5422991999998885,171184,0.8418014196930871,7.424474800000098,171117,0.8023327737032783,7.238689799999975
16,171119,0.8035109422402875,7.1563346000000365,171134,0.8123472062678567,7.371247799999992,171134,0.8123472062678567,7.250356400000101
17,171183,0.8412123354245824,7.059820599999966,171138,0.8147035433418751,7.412604699999974,171081,0.7811257400371123,7.1445410999999694
18,171172,0.8347324084710318,7.427494799999977,171120,0.8041000265087922,7.313452599999891,171156,0.825307060174958,7.560488000000078
19,171184,0.8418014196930871,7.346493999999893,171202,0.85240493652617,7.937689300000102,171169,0.8329651556655179,7.263073500000019
20,171176,0.8370887455450502,7.300030200000037,171179,0.838855998350564,7.277692599999909,171173,0.8353214927395363,7.319570499999827
21,171162,0.8288415657859858,7.255986099999973,171146,0.8194162174899119,7.371660600000041,171145,0.8188271332214072,7.53272620000007
22,171137,0.8141144590733704,7.252341200000046,171133,0.811758121999352,7.210358000000042,171208,0.8559394421371977,7.705663299999969
23,171218,0.8618302848222438,7.304967000000033,171088,0.7852493299166445,7.2873738999999205,171200,0.8512267679891609,7.246623100000079
24,171167,0.8317869871285087,7.924788099999887,171165,0.8306088185914995,7.214403800000127,171166,0.8311979028600042,7.850199199999906
25,171119,0.8035109422402875,7.805984999999964,171156,0.825307060174958,7.528934500000105,171197,0.8494595151836469,8.050104799999872
26,171121,0.8046891107772967,8.008917900000142,171143,0.8176489646843982,7.793470200000002,171125,0.807045447851315,7.128542899999957
27,171095,0.7893729197961769,7.2069360000000415,171124,0.8064563635828106,7.7070547999999235,171195,0.8482813466466378,7.337066199999981
28,171138,0.8147035433418751,7.735574000000042,171148,0.8205943860269213,7.6086636,171189,0.8447468410356102,7.368588300000056
29,171186,0.8429795882300963,7.454767899999979,171072,0.7758239816205709,7.171731800000089,171164,0.8300197343229948,7.141931099999965
30,171154,0.8241288916379488,7.237234299999955,171162,0.8288415657859858,7.297175200000083,171157,0.8258961444434627,7.427889900000082
