Version,Best_GAP,Mean_GAP,Worst_GAP,Std_GAP,Best_Score,Optimum_Hits,Total_Time_Sec
PMX,0.0,0.0,0.0,0.0,6,30/30,51.27
WRAO,0.0,0.0,0.0,0.0,6,30/30,52.35
AO,0.0,0.0,0.0,0.0,6,30/30,52.11
