Version,Best_GAP,Mean_GAP,Worst_GAP,Std_GAP,Best_Score,Optimum_Hits,Total_Time_Sec
PMX,0.0,0.0,0.0,0.0,0,30/30,15.68
WRAO,0.0,0.0,0.0,0.0,0,30/30,15.33
AO,0.0,0.0,0.0,0.0,0,30/30,15.59
