Run_Number,PMX_Scores,PMX_Gaps,PMX_Times,WRAO_Scores,WRAO_Gaps,WRAO_Times,AO_Scores,AO_Gaps,AO_Times
1,13886334,2.8679511294904936,10.03070579999985,13785900,2.1239506032364623,10.134485699999914,13904478,3.002359253714891,9.89413229999991
2,13928424,3.1797477536419985,9.694035900000017,13873454,2.772537954886755,10.02789789999997,13898674,2.95936406230184,9.768374899999799
3,13923636,3.1442789430827816,9.683217900000272,13899886,2.9683423827692104,10.075984799999787,13914408,3.0759192555638917,10.001968500000203
4,13943470,3.2912063425463343,10.12859920000028,13900576,2.973453802837268,9.894548500000383,13876868,2.7978283724408826,9.779359499999828
5,13930514,3.1952301709495923,9.654266900000039,13915330,3.082749298031644,9.732431400000223,13926764,3.1674507140579755,10.509170000000267
6,13900490,2.972816727292553,9.757057499999974,13905396,3.0091596647619587,9.813512400000036,13900862,2.9755724494162017,9.589654999999766
7,13867436,2.7279574824670885,10.212971800000105,13936544,3.2398995376313118,9.97322579999991,13875744,2.7895019432285686,9.757600600000387
8,13887822,2.878974017985087,9.450582100000247,13880402,2.824007732615542,9.592246400000022,13899066,2.96226794152891,9.368878100000074
9,13930966,3.1985785214869287,9.661947099999907,13890060,2.895552797858004,9.479958400000214,13909060,3.0363020461088612,9.888442499999655
10,13873390,2.7720638521558043,10.2085947999999,13891556,2.906634949193966,10.277919399999973,13883654,2.8480980776319513,9.866077600000153
11,13899284,2.9638828539562097,9.935463899999831,13913440,3.0687484517582693,8.817157399999815,13915860,3.0866754612723257,8.658978500000103
12,13932432,3.2094384371677576,9.728117100000418,13913368,3.0682150861859503,8.597298900000169,13906874,3.0201084747048417,8.33163259999992
13,13890274,2.897138078864619,10.796713499999896,13914060,3.07334132196435,8.094579300000078,13856788,2.6490786406052393,8.206979900000078
14,13887022,2.873047733848209,9.895589900000232,13913120,3.066377938103518,7.56610690000025,13918956,3.1096101808820444,8.475070499999674
15,13908470,3.0319314115579132,9.652572200000122,13904882,3.005352027204015,7.901602500000081,13930600,3.1958672464943065,7.953067500000088
16,13902904,2.9906992896755833,9.098679400000037,13901884,2.9831432774010636,7.319202499999847,13890186,2.896486187609562,7.841061900000113
17,13924484,3.1505608042678728,8.289850000000115,13945488,3.3061553942816095,7.428091900000254,13906056,3.0140488491748836,7.628607500000271
18,13906724,3.018997296429177,8.043257199999971,13906668,3.0185824565395953,7.37786879999976,13878328,2.808643840990685,7.544096599999648
19,13904856,3.0051594229695664,7.7811211999996885,13918670,3.1074915343031106,7.769206899999972,13894318,2.927095445176538,7.073290999999699
20,13906326,3.0160489700710795,7.963719599999877,13913138,3.0665112794965976,7.391026999999667,13906152,3.014760003271309,7.503343800000039
21,13902218,2.9856175010282104,7.50722369999994,13855462,2.6392558246483637,8.124489900000299,13903012,2.9914993380340618,7.444638899999973
22,13874660,2.7814718282230984,8.500790600000073,13921776,3.13050033246454,7.484463799999958,13908006,3.028494166758524,7.706443600000057
23,13920196,3.118795921294206,7.9232059000000845,13897116,2.9478226239452696,7.754476800000248,13915476,3.083830844886624,7.5645761000000675
24,13911038,3.0509547836372923,7.858631699999933,13928502,3.1803255663453434,7.07317699999976,13934184,3.2224169994275207,7.839622800000143
25,13905260,3.0081521964586897,7.632130799999686,13881966,2.8355936181031387,8.004500300000018,13867480,2.728283428094617,7.557206099999803
26,13902470,2.987484280531327,7.304861600000095,13901398,2.9795430597879102,7.429211000000123,13911280,3.052747484588698,7.837438099999872
27,13867278,2.726787041350055,7.913077600000179,13905846,3.0124931995889526,7.23987790000001,13903304,2.9936624317440224,6.8088112000000365
28,13891512,2.9063090035664376,7.634233100000074,13910802,3.0492065298169133,7.151858800000355,13891296,2.9047089068494807,7.3887847000000875
29,13895680,2.9371849439195734,8.033078500000101,13897746,2.9524895727030613,6.528753399999914,13895228,2.933836593382237,6.843930999999884
30,13945314,3.304866427481839,7.728739399999995,13876410,2.7944355747725194,7.016263799999706,13922784,3.137967450477007,7.174715899999683
