Version,Best_GAP,Mean_GAP,Worst_GAP,Std_GAP,Best_Score,Optimum_Hits,Total_Time_Sec
PMX,0.0,0.0,0.0,0.0,1855928,30/30,189.71
WRAO,0.0,0.0,0.0,0.0,1855928,30/30,188.77
AO,0.0,0.0,0.0,0.0,1855928,30/30,185.84
